Score: 185/285,,
Grading Rubric,STA(R) GEN: A STAR RECIPE GENERATOR (k),Evidence
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",0,
Are your test results publicly visible?,0,
Are all manually-run tests documented?,3,https://github.com/het-patel99/Recipe_Recommender/tree/master/Code/backend/__tests__
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
*
e.g. release announcements, publications, workshops, conference presentations",0,
Does your website state how many projects and users are associated with your project?,3,
Do you provide success stories on your website?,0,
Do you list your important partners and collaborators on your website?,3,https://github.com/het-patel99/Recipe_Recommender/blob/7ea07340af3e883e956fcc8d52e549917cdcf15a/README.md#contributors-phase---3
Do you list your project's publications on your website or link to a resource where these are available?,0,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,0,
Can users subscribe to notifications to changes to your source code repository?,0,No
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",0,No
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",3,https://github.com/het-patel99/Recipe_Recommender/blob/master/CONTRIBUTING.md
Do you have a contributions policy?,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/CONTRIBUTING.md
Is your contributions' policy publicly available?,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/CONTRIBUTING.md
Do contributors keep the copyright/IP of their contributions?,3,Yes
Does your website and documentation clearly state the copyright owners of your software and documentation?,3,Yes. Can be found here.
Does each of your source code files include a copyright statement?,0,No
Does your website and documentation clearly state the licence of your software?,3,Yes. Can be found here.
Is your software released under an open source licence?,3,Yes. MIT license is an open source license.
Is your software released under an OSI-approved open-source licence?,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/LICENSE
Does each of your source code files include a licence header?,0,No
Do you have a recommended citation for your software?,3,Yes. https://github.com/het-patel99/Recipe_Recommender/blob/master/CITATION.md
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",3,Yes. https://github.com/het-patel99/Recipe_Recommender/tree/master#readme
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",0,No
"Do you make timely announcements of the deprecation of components, APIs, etc.?",0,No
